Time,Region,value
1990,LAM,18.947823
1990,OAS,2.118723
1990,SSA,0.947777
1990,EUR,17.21891
1990,NEU,1.156917
1990,MEA,2.113866
1990,REF,1.50172
1990,CAZ,2.879181
1990,CHA,0.659386
1990,IND,0.107807
1990,JPN,1.716591
1990,USA,7.098731
1991,LAM,18.947823
1991,OAS,2.118723
1991,SSA,0.947777
1991,EUR,17.21891
1991,NEU,1.156917
1991,MEA,2.113866
1991,REF,1.50172
1991,CAZ,2.879181
1991,CHA,0.659386
1991,IND,0.107807
1991,JPN,1.716591
1991,USA,7.098731
1992,LAM,18.947823
1992,OAS,2.118723
1992,SSA,0.947777
1992,EUR,17.21891
1992,NEU,1.156917
1992,MEA,2.113866
1992,REF,1.50172
1992,CAZ,2.879181
1992,CHA,0.659386
1992,IND,0.107807
1992,JPN,1.716591
1992,USA,7.098731
1993,LAM,18.947823
1993,OAS,2.118723
1993,SSA,0.947777
1993,EUR,17.21891
1993,NEU,1.156917
1993,MEA,2.113866
1993,REF,1.50172
1993,CAZ,2.879181
1993,CHA,0.659386
1993,IND,0.107807
1993,JPN,1.716591
1993,USA,7.098731
1994,LAM,18.947823
1994,OAS,2.118723
1994,SSA,0.947777
1994,EUR,17.21891
1994,NEU,1.156917
1994,MEA,2.113866
1994,REF,1.50172
1994,CAZ,2.879181
1994,CHA,0.659386
1994,IND,0.107807
1994,JPN,1.716591
1994,USA,7.098731
1995,LAM,18.947823
1995,OAS,2.118723
1995,SSA,0.947777
1995,EUR,17.21891
1995,NEU,1.156917
1995,MEA,2.113866
1995,REF,1.50172
1995,CAZ,2.879181
1995,CHA,0.659386
1995,IND,0.107807
1995,JPN,1.716591
1995,USA,7.098731
1996,LAM,18.947823
1996,OAS,2.118723
1996,SSA,0.947777
1996,EUR,17.21891
1996,NEU,1.156917
1996,MEA,2.113866
1996,REF,1.50172
1996,CAZ,2.879181
1996,CHA,0.659386
1996,IND,0.107807
1996,JPN,1.716591
1996,USA,7.098731
1997,LAM,18.947823
1997,OAS,2.118723
1997,SSA,0.947777
1997,EUR,17.21891
1997,NEU,1.156917
1997,MEA,2.113866
1997,REF,1.50172
1997,CAZ,2.879181
1997,CHA,0.659386
1997,IND,0.107807
1997,JPN,1.716591
1997,USA,7.098731
1998,LAM,18.947823
1998,OAS,2.118723
1998,SSA,0.947777
1998,EUR,17.21891
1998,NEU,1.156917
1998,MEA,2.113866
1998,REF,1.50172
1998,CAZ,2.879181
1998,CHA,0.659386
1998,IND,0.107807
1998,JPN,1.716591
1998,USA,7.098731
1999,LAM,18.947823
1999,OAS,2.118723
1999,SSA,0.947777
1999,EUR,17.21891
1999,NEU,1.156917
1999,MEA,2.113866
1999,REF,1.50172
1999,CAZ,2.879181
1999,CHA,0.659386
1999,IND,0.107807
1999,JPN,1.716591
1999,USA,7.098731
2000,LAM,18.947823
2000,OAS,2.118723
2000,SSA,0.947777
2000,EUR,17.21891
2000,NEU,1.156917
2000,MEA,2.113866
2000,REF,1.50172
2000,CAZ,2.879181
2000,CHA,0.659386
2000,IND,0.107807
2000,JPN,1.716591
2000,USA,7.098731
2001,LAM,18.947823
2001,OAS,2.118723
2001,SSA,0.947777
2001,EUR,17.21891
2001,NEU,1.156917
2001,MEA,2.113866
2001,REF,1.50172
2001,CAZ,2.879181
2001,CHA,0.659386
2001,IND,0.107807
2001,JPN,1.716591
2001,USA,7.098731
2002,LAM,18.947823
2002,OAS,2.118723
2002,SSA,0.947777
2002,EUR,17.21891
2002,NEU,1.156917
2002,MEA,2.113866
2002,REF,1.50172
2002,CAZ,2.879181
2002,CHA,0.659386
2002,IND,0.107807
2002,JPN,1.716591
2002,USA,7.098731
2003,LAM,18.947823
2003,OAS,2.118723
2003,SSA,0.947777
2003,EUR,17.21891
2003,NEU,1.156917
2003,MEA,2.113866
